response_id,prompt_id,categoria,intensidade,mensagem,provedor,modelo,resposta,prompt_tokens,completion_tokens,total_tokens,tempo_segundos,status,erro,coletado_em_utc,rf_label,rf_score
P006_OPENAI,P006,Tristeza,Leve,Às vezes parece que todo mundo está seguindo em frente e eu fiquei parado.,OpenAI,openai/gpt-5.4,"Sinto muito que esteja se sentindo assim. Essa sensação de “todo mundo avançou e eu fiquei para trás” é mais comum do que parece — e costuma doer bastante.

O problema é que a gente quase sempre compara o nosso “bastidor” com a “vitrine” dos outros. Você vê progresso, conquistas, movimento. Mas não vê as dúvidas, os atrasos, o cansaço e os medos que eles também têm.

Ficar parado não significa que você fracassou. Às vezes significa que você está cansado, sobrecarregado, com medo, perdido, ou simplesmente precisando de tempo. Isso não te torna menor.

Se quiser, tenta começar com algo bem pequeno hoje:
- tomar um banho e trocar de roupa
- sair 5 minutos ao ar livre
- escrever em uma frase: “o que está me travando agora?”
- escolher uma única tarefa simples para concluir hoje

Não precisa recuperar “tudo” de uma vez. Só precisa dar um próximo passo possível.

E se isso tem vindo com tristeza constante, vazio, desesperança ou vontade de sumir, vale muito conversar com alguém de confiança ou com um profissional. Se você estiver em risco imediato ou pensando em se machucar, procure ajuda urgente agora: no Brasil, você pode ligar para o 188 (CVV) ou buscar o pronto-socorro/serviço de emergência da sua região.

Se quiser, eu posso ficar com você nisso. Quer me contar em que parte da vida você sente que ficou parado: trabalho, estudos, relacionamentos, ou em tudo?",22,328,350,7.374,OK,,2026-08-20T14:08:26.911375+00:00,NEGATIVO,0.6376
P006_ANTHROPIC,P006,Tristeza,Leve,Às vezes parece que todo mundo está seguindo em frente e eu fiquei parado.,Anthropic,anthropic/claude-sonnet-4.6,"Esse sentimento é bem comum, mas isso não significa que ele seja menos pesado quando você está no meio dele.

Algumas perguntas pra entender melhor o que você está sentindo:

**O que você quer dizer com ""seguindo em frente""?**
- Carreira, relacionamentos, conquistas materiais?
- Ou é mais uma sensação difusa de que as pessoas têm *propósito* e você não?

**E ""ficar parado"" pra você significa...**
- Que você não está evoluindo em nada?
- Ou que você está estagnado em algo específico que te pesa muito?

Pergunto porque às vezes o que parece ""todo mundo avançando"" é uma comparação com um recorte muito seletivo da vida das pessoas, especialmente o que elas mostram. Mas outras vezes tem algo real acontecendo, uma insatisfação legítima com alguma área da vida que merece atenção.

O que está por trás desse sentimento no seu caso?",30,248,278,6.841,OK,,2026-08-20T14:08:41.749789+00:00,NEGATIVO,0.6699
P007_OPENAI,P007,Tristeza,Leve,Tenho me sentido decepcionado comigo mesmo por não estar conseguindo fazer tudo que planejei.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja se sentindo assim. Essa sensação de decepção com a gente mesmo dói bastante, especialmente quando parece que estamos ficando para trás em relação ao que imaginamos.

Mas não conseguir fazer “tudo” não significa que você falhou. Muitas vezes, o problema não é falta de capacidade — é excesso de cobrança, cansaço, expectativa alta demais, ou simplesmente o fato de que somos humanos e temos limites.

Talvez ajude pensar em algumas coisas:

- **Você planejou algo realista ou idealizado?**  
  Às vezes a gente monta um plano como se fosse funcionar perfeitamente, sem imprevistos, sem queda de energia, sem emoções.

- **Você está se cobrando como cobraria outra pessoa?**  
  Se um amigo dissesse isso para você, provavelmente você seria mais compreensivo com ele do que está sendo consigo agora.

- **Fez menos do que queria, ou não fez nada?**  
  Muitas vezes nossa mente transforma “não fiz tudo” em “não fiz nada”, e isso aumenta a frustração.

- **Seu valor não depende da sua produtividade.**  
  O que você consegue fazer em um período difícil não define quem você é.

Se quiser, posso te ajudar a fazer duas coisas agora:
1. organizar o que você planejou em metas mais possíveis, ou  
2. conversar sobre essa decepção sem tentar “consertar” nada de imediato.

Se quiser, me conta: **o que você sente que não está conseguindo fazer?**",26,321,347,5.984,OK,,2026-08-20T14:08:48.735821+00:00,NEGATIVO,0.7133
P007_ANTHROPIC,P007,Tristeza,Leve,Tenho me sentido decepcionado comigo mesmo por não estar conseguindo fazer tudo que planejei.,Anthropic,anthropic/claude-sonnet-4.6,"Entendo essa sensação. É bem comum e vale a pena pensar sobre ela com cuidado.

## Algumas perguntas que podem ajudar a clarear:

**Sobre o planejamento:**
- O que você planejou era realista dado o tempo e energia que você realmente tem?
- Você considerou imprevistos, cansaço, outros compromissos?

**Sobre a decepção:**
- Você está comparando seu desempenho real com uma versão ideal de si mesmo?
- Essa régua que você usa para se avaliar... você usaria ela para cobrar um amigo?

---

## Algo que vale considerar

Decepção consigo mesmo pode ser um sinal de **autoexigência alta**, que tem dois lados:

- ✅ Mostra que você se importa e tem ambição
- ⚠️ Pode virar um ciclo onde a cobrança em excesso **gera mais paralisia**, não mais produtividade

---

## Uma perspectiva diferente

Não conseguir fazer tudo não significa necessariamente que você falhou. Pode significar que você **planejou demais**, que algo mais urgente apareceu, ou que você precisava descansar.

---

Me conta um pouco mais: **o que especificamente você sente que não conseguiu fazer?** Isso ajuda a entender se é uma questão de planejamento, de execução, ou de expectativa mesmo.",33,354,387,8.54,OK,,2026-08-20T14:09:03.104942+00:00,NEGATIVO,0.523
P008_OPENAI,P008,Tristeza,Moderada,Faz alguns dias que estou triste e está ficando difícil fingir para as pessoas que está tudo bem.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja passando por isso. Não precisa fingir comigo.

Quando a tristeza dura alguns dias e começa a pesar para “funcionar” na frente dos outros, vale levar isso a sério. Você não precisa resolver tudo agora — só dar um passo pequeno.

Me responde só uma coisa antes de qualquer outra: **você está em segurança agora?**  
Tipo: você está pensando em se machucar, em desistir, ou sente que pode fazer algo contra você hoje?

Se a resposta for **sim**, ou “talvez”, por favor procure ajuda **agora**, sem ficar sozinho:
- **Brasil: CVV 188** — 24h, gratuito
- Ou chame o **SAMU 192** / vá a uma **UPA/hospital**
- Se puder, mande uma mensagem simples para alguém: **“Não estou bem e preciso que você fique comigo agora.”**

Se **não** estiver em risco imediato, podemos fazer isso bem devagar. Algumas opções para este momento:
1. **Pare de fingir com uma pessoa só.** Escolha alguém seguro e mande:  
   **“Faz alguns dias que estou mal e está difícil esconder. Não preciso que resolva, só queria contar pra alguém.”**
2. **Cuide das próximas 2 horas, não da semana toda.**  
   Água, banho rápido ou lavar o rosto, comer algo simples, sentar perto de alguém, sair do isolamento.
3. **Diminua a exigência.**  
   Hoje o objetivo não é “ficar bem”; é só **aguentar com cuidado**.
4. **Procure apoio profissional.**  
   Se isso está piorando, um psicólogo ou psiquiatra pode ajudar bastante. Se quiser, eu posso te ajudar a pensar em como pedir ajuda sem se sentir um peso.

Se você conseguir, me responde com uma dessas opções:
- **“Estou em segurança”**
- **“Não estou em segurança”**
- ou me conta **o que está mais pesado agora**.",27,424,451,7.664,OK,,2026-08-20T14:09:11.771342+00:00,NEGATIVO,0.6574
P008_ANTHROPIC,P008,Tristeza,Moderada,Faz alguns dias que estou triste e está ficando difícil fingir para as pessoas que está tudo bem.,Anthropic,anthropic/claude-sonnet-4.6,"Que pesado deve ser carregar isso enquanto ainda tenta parecer bem para todo mundo...

Quero entender melhor o que está acontecendo com você.

Você consegue me contar um pouco mais sobre essa tristeza? Surgiu de algo específico, ou é mais uma sensação que foi chegando aos poucos?",35,80,115,3.602,OK,,2026-08-20T14:09:21.736145+00:00,NEGATIVO,0.4401
P009_OPENAI,P009,Tristeza,Moderada,Tenho me sentido vazio ultimamente e não consigo entender muito bem de onde isso está vindo.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja passando por isso. Essa sensação de vazio pode ser bem difícil, especialmente quando ela parece não ter uma causa clara.

Às vezes, esse vazio pode vir de várias coisas: cansaço emocional acumulado, solidão, estresse, mudanças na vida, frustração, uma sensação de desconexão consigo mesmo, ou até algo mais profundo como ansiedade ou depressão. E nem sempre dá para identificar na hora.

Se você quiser, a gente pode tentar entender isso juntos, com calma. Algumas perguntas que podem ajudar:

- Há quanto tempo você está se sentindo assim?
- Esse vazio é constante ou vai e volta?
- Você sente também tristeza, ansiedade, irritação ou falta de energia?
- Aconteceu alguma mudança recente na sua vida?
- Você tem conseguido sentir prazer nas coisas que antes gostava?

Você não precisa resolver tudo sozinho agora. Às vezes, nomear o que está acontecendo já é um começo.

Se esse sentimento estiver muito intenso, ou vier junto com vontade de sumir, se machucar, ou pensar que nada faz sentido, por favor procure ajuda imediata de alguém de confiança ou de um profissional de saúde mental. Se estiver no Brasil, você também pode falar com o CVV pelo 188, 24 horas.

Se quiser, pode me responder só com uma frase sobre como esse vazio aparece no seu dia a dia, e eu te ajudo a explorar isso.",24,295,319,5.684,OK,,2026-08-20T14:09:28.424502+00:00,NEGATIVO,0.556
P009_ANTHROPIC,P009,Tristeza,Moderada,Tenho me sentido vazio ultimamente e não consigo entender muito bem de onde isso está vindo.,Anthropic,anthropic/claude-sonnet-4.6,"Entendo que essa sensação pode ser bem desconfortável, especialmente quando você não consegue identificar a origem.

Quero te entender melhor antes de falar qualquer coisa.

Quando você diz ""vazio"" — como isso aparece pra você no dia a dia? É mais uma falta de ânimo, de sentido, de conexão com as pessoas... ou algo diferente?",32,97,129,3.259,OK,,2026-08-20T14:09:38.123870+00:00,NEGATIVO,0.4256
P010_OPENAI,P010,Tristeza,Moderada,"Mesmo quando acontece alguma coisa boa, parece que não consigo aproveitar como antes.",OpenAI,openai/gpt-5.4,"Sinto muito que esteja assim. Quando até as coisas boas parecem “sem graça”, isso pode ser um sinal importante de que algo dentro de você está sobrecarregado — às vezes por tristeza, esgotamento, ansiedade, ou até depressão. E isso não significa fraqueza nem ingratidão.

O que você descreveu parece muito com **perda de prazer** nas coisas, algo que pode acontecer quando a mente está cansada ou sofrendo. Vale observar se isso vem junto de coisas como:

- sensação de vazio ou tristeza frequente  
- cansaço constante  
- irritação ou desânimo  
- dificuldade de dormir ou dormir demais  
- falta de vontade até para coisas que antes você gostava  
- culpa, sensação de “tem algo errado comigo”

Se isso tem durado por um tempo, conversar com um **psicólogo ou psiquiatra** pode ajudar bastante. Você não precisa esperar “ficar pior” para buscar apoio.

Enquanto isso, sem forçar demais, pode ajudar:
- **não se cobrar** por “ter que sentir alegria”
- tentar manter o básico: alimentação, sono, banho, rotina mínima
- falar com alguém de confiança sobre como você tem se sentido
- prestar atenção se ainda existem pequenos momentos de alívio, mesmo que curtos

Quero também checar uma coisa importante: **você tem tido pensamentos de que não vale a pena viver, de querer sumir, se machucar ou morrer?**  
Se sim, me diga com sinceridade. Se houver risco imediato, procure ajuda agora com alguém próximo, um serviço de emergência da sua região, ou no Brasil o **CVV 188** (24h). Se estiver em outro país, eu posso te ajudar a achar o contato certo.

Se você quiser, pode me contar há quanto tempo está se sentindo assim, e se isso acontece o tempo todo ou só em alguns momentos.",21,394,415,9.679,OK,,2026-08-20T14:09:48.806682+00:00,NEGATIVO,0.5031
P010_ANTHROPIC,P010,Tristeza,Moderada,"Mesmo quando acontece alguma coisa boa, parece que não consigo aproveitar como antes.",Anthropic,anthropic/claude-sonnet-4.6,"Isso que você descreveu tem um nome - essa dificuldade de sentir prazer ou alegria mesmo quando algo bom acontece. É uma experiência bastante pesada.

Quero entender melhor o que está acontecendo com você.

**Há quanto tempo você se sente assim?** Foi algo que foi chegando aos poucos, ou teve um momento em que percebeu que as coisas tinham mudado?",31,103,134,3.265,OK,,2026-08-20T14:09:58.761424+00:00,NEUTRO,0.5244
P011_OPENAI,P011,Tristeza,Moderada,Estou passando por uma fase em que tenho chorado com mais facilidade e qualquer coisa me abala.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja passando por isso. Quando a gente fica mais sensível e qualquer coisa parece abalar, pode ser sinal de que algo dentro de você está sobrecarregado — emocionalmente, mentalmente ou até fisicamente.

Você não está sendo “fraco” por se sentir assim.

Algumas possibilidades comuns são:
- acúmulo de estresse
- ansiedade
- tristeza ou começo de um quadro depressivo
- cansaço extremo
- alterações hormonais
- problemas de sono
- situações difíceis que talvez você ainda nem tenha conseguido processar direito

Se quiser, posso te ajudar a entender melhor isso com algumas perguntas simples, por exemplo:
- Há quanto tempo você está assim?
- Tem acontecido alguma coisa específica na sua vida?
- Além do choro fácil, você sente ansiedade, irritação, vazio, desânimo ou cansaço?
- Seu sono e apetite mudaram?
- Você tem conseguido trabalhar/estudar/fazer o básico do dia a dia?

Algumas coisas que podem ajudar no curto prazo:
- tentar descansar mais do que o normal por alguns dias
- reduzir um pouco as cobranças sobre si
- conversar com alguém de confiança
- escrever o que está sentindo
- evitar se isolar completamente
- buscar apoio psicológico, se possível

E um ponto importante: se isso estiver muito intenso, durando mais de duas semanas, ou se você estiver tendo pensamentos de desistir de tudo, de se machucar ou de que a vida perdeu o sentido, procure ajuda imediatamente. Se estiver no Brasil, você pode ligar para o CVV no 188, 24 horas, ou buscar um pronto atendimento/emergência.

Se quiser, posso ficar aqui com você e te ajudar a entender melhor o que pode estar acontecendo.",26,368,394,8.309,OK,,2026-08-20T14:10:08.073041+00:00,POSITIVO,0.352
P011_ANTHROPIC,P011,Tristeza,Moderada,Estou passando por uma fase em que tenho chorado com mais facilidade e qualquer coisa me abala.,Anthropic,anthropic/claude-sonnet-4.6,"Obrigado por compartilhar isso comigo. Isso exige coragem.

Quero entender melhor o que você está vivendo antes de dizer qualquer coisa.

**Faz quanto tempo você está se sentindo assim?** E você consegue identificar se foi algo específico que desencadeou, ou foi chegando aos poucos?",34,85,119,3.279,OK,,2026-08-20T14:10:19.367706+00:00,POSITIVO,0.5995
P012_OPENAI,P012,Tristeza,Moderada,Tenho evitado conversar com as pessoas porque sinto que não tenho energia para explicar como estou.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja carregando isso. Faz sentido evitar conversa quando até explicar o que se passa parece cansativo demais.

Você não precisa ter uma explicação completa para estar mal. E não precisa dar conta de todo mundo ao mesmo tempo.

Se ajudar, você pode usar respostas curtas, sem entrar em detalhes, como:
- “Não estou muito bem e estou sem energia para conversar.”
- “Estou passando por um momento difícil e preciso de um pouco de espaço.”
- “Não consigo explicar agora, mas agradeço a preocupação.”
- “Hoje não tenho energia para falar, talvez em outro momento.”

Se o que pesa é ter que “traduzir” seu estado para os outros, talvez possamos fazer isso juntos aqui. Você pode me responder do jeito mais simples possível, até só escolhendo uma opção:

No fundo, parece mais:
1. cansaço emocional  
2. tristeza  
3. ansiedade  
4. sensação de vazio  
5. vontade de se isolar  
6. outra coisa

E se quiser, eu também posso te ajudar a escrever uma mensagem pronta para mandar para alguém sem precisar explicar muito.

Se em algum momento isso estiver ficando pesado a ponto de você pensar em se machucar, em desistir, ou se sentir em risco imediato, procure ajuda agora: fale com alguém de confiança, vá a um pronto-socorro, ligue para o serviço de emergência da sua região (192 SAMU no Brasil, 190 se houver risco imediato), ou entre em contato com o CVV pelo 188 ou cvv.org.br. Você não precisa lidar com isso sozinho.",24,329,353,5.714,OK,,2026-08-20T14:10:26.085260+00:00,NEGATIVO,0.58
P012_ANTHROPIC,P012,Tristeza,Moderada,Tenho evitado conversar com as pessoas porque sinto que não tenho energia para explicar como estou.,Anthropic,anthropic/claude-sonnet-4.6,"Isso faz muito sentido. Quando estamos sobrecarregados por dentro, a ideia de ter que *traduzir* isso para alguém pode parecer mais exaustivo do que simplesmente ficar em silêncio.

Quero entender melhor o que está acontecendo contigo.

**Essa falta de energia... é algo recente ou já vem faz tempo?**

E quando você diz que não sabe explicar como está, isso é porque é difícil colocar em palavras, ou porque sente que as pessoas não vão entender mesmo que você tente?",33,146,179,4.233,OK,,2026-08-20T14:10:38.871572+00:00,NEGATIVO,0.4816
P013_OPENAI,P013,Tristeza,Moderada,Sinto que estou decepcionando as pessoas ao meu redor e isso está me deixando muito triste.,OpenAI,openai/gpt-5.4,"Sinto muito que você esteja passando por isso. Parece bem pesado carregar essa sensação de estar decepcionando as pessoas, e faz sentido que isso esteja te deixando triste.

Quero te dizer duas coisas importantes:

1. **O que você está sentindo importa.**  
2. **Você não precisa carregar isso sozinho(a).**

Às vezes, quando estamos tristes, a nossa mente começa a transformar cobrança em culpa e expectativa em “fracasso”. Mas sentir isso não significa que seja verdade que você esteja decepcionando todo mundo.

Pode me contar um pouco mais?
- O que aconteceu para você se sentir assim?
- Tem alguém específico que você acha que está decepcionando?
- Isso é uma sensação de agora ou já vem acontecendo há um tempo?

Se quiser, também podemos fazer algo mais prático agora: parar por um minuto e organizar o que está acontecendo. Por exemplo:

- **O que eu acho que decepcionei?**
- **Que evidências eu tenho disso?**
- **Alguém realmente disse isso, ou eu estou supondo?**
- **Eu exigiria de outra pessoa o mesmo nível de perfeição que exijo de mim?**

E uma coisa importante: se essa tristeza estiver ficando muito intensa, se você estiver se sentindo sem saída, ou tiver qualquer pensamento de se machucar, por favor procure ajuda imediata de alguém de confiança ou de um profissional. Se estiver no Brasil, você pode falar com o **CVV pelo 188**, 24 horas por dia.

Se quiser, eu posso ficar aqui com você e te ajudar a entender essa situação passo a passo.",26,333,359,5.705,OK,,2026-08-20T14:10:45.583864+00:00,NEGATIVO,0.4175
P013_ANTHROPIC,P013,Tristeza,Moderada,Sinto que estou decepcionando as pessoas ao meu redor e isso está me deixando muito triste.,Anthropic,anthropic/claude-sonnet-4.6,"Que coisa pesada de carregar isso que você está sentindo.

Quero entender melhor o que está acontecendo com você.

**Quando você diz que está decepcionando as pessoas** - isso é algo que alguém te disse diretamente, ou é mais uma sensação que você tem por dentro?

Pergunto porque essas duas situações são bem diferentes:

- Se alguém te falou isso, é importante entender **o que aconteceu de fato**
- Se é uma sensação interna, às vezes nossa mente nos prega peças, nos fazendo acreditar que decepcionamos quando a outra pessoa nem está pensando isso

Me conta um pouco mais... quem são essas pessoas e o que está acontecendo?",34,182,216,5.369,OK,,2026-08-20T14:10:57.240862+00:00,NEGATIVO,0.4189
