review_text,overall_rating
"Fiz o pedido dia (23-04-2018), antes de confirmar a compra, estava explicito no site, que vocês iriam entregar de 7 á 10 dias úteis, e bem, hoje já é dia (27-04-2018), já se passou exata uma semana do lançamento e até hoje, ainda está na nota fiscal emitida, detalhe: desde segunda-feira passada, dia ( 23-04-2018). Depois da efetuação do pedido, a data foi postergada para dia (30-04-2018), passados 3-4 dias, a Americanas me adia novamente a data de entrega, para até agora, dia (02-04-2018).  Comprei na pré-venda, com a certeza de pegar o jogo o quanto antes possível, bem perto de seu lançamento, mas até hoje estou esperando e quero saber Americanas, quanto tempo a mais terei que esperar?  Se vocês oferecem para seus clientes o serviço de pré-venda e não cumprem com a palavra, vocês não estão respeitando as pessoas que são fundamentais para a sustentação e para o crescimento da Americanas, que são seus clientes.",1
"O gravador é uma boa pedida para quem não tem orçamento suficiente para comprar um Tascam (R$500 - R$700). Nos meus testes com microfone lapela, a qualidade do som ficou muito boa, dando um aspecto mais profissional aos meus vídeos. Simplificou a vida na hora de limpar o áudio.  Recomendo o produto esse produto, estou satisfeito com a compra e entrega do mesmo.",5
"Essa porcaria travou... não liga, não desliga, não muda de tela... não faz nada! Com menos de uma semana de uso",1
"Muito bom atendeu a todas as minhas nescessidades ,indico a todos.",4
"O depilador é ótimo, ergonômico, leve e não dói. Funcionou muito bem para mim. Super recomendo pela relação custo benefício!",4
"Muito pratico,simples instalação e es excelente qualidade, tem um detalhe,o filtro para repor achei muito caro ,mas se comparar com os galões de água não confiável... eu  recomendo .",5
"Máquina linda, leve, super fácil de manusear e cumpre o que promete! Ótimo custo benefício!",5
"Adorei o aspirador, potência boa e substitui perfeitamente a vassoura que era a minha intenção. Aspirei toda a casa e em momento nenhum desligou!",4
Recomendaria produto de boa qualidade e fácil de navegar. Além da entrega rápida.,4
Aparelho muito bom conforme anunciado. Recomendo para quem quer um celular intermediário.,4
podem comprar sempre compro nas americanas nunca tive nenhum problema parabéns !,5
Comprei 2 controles. Um deles está com problemas. Não faz a conexão com o portão de forma alguma.  O outro está tudo OK! Nem sei como resolver.,3
Produto entregue é diferente do comprado. Gostaria de uma resposta pois já comprei em outras oportunidades e nunca tive esse tipo de problemas. E comprei o produto para uma amiga e ela ficou decepcionadíssima com a troca do produto.,3
"Satisfez minhas expectativas, rápido não trava muito top mesmo.",4
"Produto de ótimo acabamento, superou minhas expectativas. Minha piscina ficou linda com a escada, adorei!",5
O sinal sempre está sempre saindo do ar e precisa ser configurado novamente,2
"As toalhas são enormes,  secam muito bem, bonitas, seria ainda melhor se tivesse a gramatura pouco maior",4
Muito ruim trava usei 5 vezes e agora não liga mais,1
"Eu tenho um olho magico digital da Beluni, funcionando a mais de um ano na porta do meu escritório, o produto fica conectado no Wifi e quando alguém toca a campainha, recebo a notificação na tela do meu celular, após desbloquear a tela, consigo ver e falar com a pessoa que está na porta  de onde eu estiver, não importa se estou  na rua. Quando eu não posso atender, tem uma opção de colocar no modo mudo e depois confiro as fotos que são tiradas das pessoas que tocaram a campainha e ficam armazenado na nuvem.  A internet do local precisa ter bom sinal, caso contrário o produto não vai cumprir com todas as funções. Vale a pena.",5
chegou no tempo previsto.  minha filha gostou muito.,5
"Não recebi o produto e nem o rebolso !!! Nem se quer o vendedor responde meu e-mail!!! Gente não compre, é golpe !!!!!!! Cuidado",1
O liquidificador é lindo e muito prático. Ficamos muito felizes com a compra e entrega rápida!!,4
"Sou fã número 1 da epson. Agora com o tanque de tinta então, ficou ainda melhor.",5
Produto muito bom igual a descrição o tecido é bom a cor é igual,5
"Só é marca, pois tem celulares hoje com tecnologia melhor mais potente e menor preço de mercado.",3
"Preciso que me devolvam o dinheiro, pois o pneu não veio com a mesma marca no produto físico, sendo que os outros pneus que tenho são todos da marca Pirelli.",1
Excelente para quem quer proteger seu tablet pagando um preço acessível.,4
"Bom produto, recomendo e a entrega foi realizada no prazo estimado",4
Eu o recomendo seria melhor se a bateria fosse removível,4
Espanta morcegos... Mais precisa ficar ligado por uns 2 meses. Caso contrário eles voltam. Não faz barulho aos ouvidos humanos.,5
nas imagens parece ser de um material mais robusto.  A nota fiscal que veio com o produto está com o valor diferente da compra,2
"Quando comprei, já conhecia uma versão antiga do mesmo, mas esse último vem com uma luz insuportavelmente forte e não consigo remover ou desligar. Entrei em contato com o fabricante que se quer retornou as minhas solicitações. Uso o produto para dormir e tive que fazer uma proteção de black out, para poder ligá-lo.",2
A própria marca é sinônima de excelente avaliação.,5
"Custo benefício, dentro do valor pago é satisfatório o que proporciona",4
"Para mim que não uso muito a internet, esse produto é otimo",3
"Entrega dentro do prazo, parabéns as lojas Americanas pela pontualidade.",4
Achei o tecido o pouco frágil ficaenrolando nas pernas deveria ser um tecido mas grosso.,2
"Muito bonita,meu marido adorou. Você olhando assim pensa que é fraca,mas o tecido é ótimo. Eu recomendo!",3
Tecido bom .  Ocupa pouco espaço no armário depois de dobrada.  Colcha muito bonita.,4
"Não posso avaliar, porque infelizmente a entrega de vocês é péssima, e ainda não recebi o produto. Pior! Não recebo satisfação, do que esta acontecendo. Me sentido lesado...",1
nada a declarar . ótimo produto e chegou no prazo certo.,4
"A potência fornecida (25W) é maior do que a anunciada (15W), o que pode danificar o aparelho que foi construído para alimentar com 15W. A foto do produto mostra cabo removível e o carregador veio com cabo fixo, impedindo a recarga em portas USB.",1
Encaixa perfeitamente. Tem alguns pontos com velcro que vc usa se quiser para ficar no carpete.,5
Comprei para um cliente da empresa em que trabalho. Recebi o produto correto e antes do prazo.,5
"Mais de 1 mês de espera, nunca mais compro nada por esse site .",1
Não recebi o produto ...........?...........?..........................,1
Produto super bom gostei bastante.sem falar k a entrega foi super rápida.,4
"Funciona bem, por ser fitnes e nao ir oleo quase nao pega sal . Usar manteiga ou sal liquido",5
"Liguei o aparelho, configurei a digital e cadastrei a senha, porém o aparelho simplesmente desligou, coloquei para carregar e mesmo assim o mesmo não voltou. Isso no dia que recebi o aparelho, solicitei o reembolso do valor e estou no aguardo do ressarcimento.",1
Muito bom! Produto entregue antes do prazo gostei muito mesmo!,5
"Produto de excelente qualidade, aconselho para quem deseja um notebook rápido e estável.",5
"Carrega tranquilamente 4 aparelho celulares, de todos carregadores que eu tive desse não tenho do que reclamar. Aparelho muito bom, recomendo a todos",5
Gostei muito do produto! A entrega foi conforme o combinado. Eu recomendo!,5
Meu produto veio com a cor diferente. Comprei sabendo que seria aquele rosa claro que tá mostrando e veio rosa Pink. Também veio faltando a bolsa. Quando vcs vão me enviar a bolsa?,2
"Muito bom, chegou antes do prazo. satisfez minhas expectativas.",3
"Recebi o produto conforme esperado, excelente aquisição, recomendo a outras pessoas, compra segura.",5
Um creme de pentear que toda cacheada deve experimentar.,5
"Claudinha com um CD simples, mas arrasando. Marimba é um hino.",5
Fiz a compra há quase 2 meses e ainda não foi entregue. Espero que não venha com nenhum problema pra valer a pena.,2
"boa noite o material do carrinho muito ruim, a cobertura do bebe conforto não funciona, não tem travamento e a trava da alça do bebe conforto não funciona direto, muito difícil de mudar a posição e só tem 2 posições a do meio e a posição de cima. não tem uma posição para frente e muito difícil de destravar. tecido e as espumas do carrinho são bem inferiores.  não recomento para ninguém e estou tentando vender. mas quando olham o carrinho todos desiste da compra, se tivesse visto antes de comprar também não compraria.  a foto e a descrição na internet engana muito   tenha uma boa noite   me senti enganado pelo anuncio.",1
"NÃO RECEBI O PRODUTO!!  CONSTA COMO SE EU TIVESSE RECEBIDO!!  ABSURDO!! EU ABRI PROTOCOLO SOLICITANDO UMA RESOLUÇÃO, VISTO QUE A ENTREGA JÁ ESTAVA EM ATRASO, NÃO RECEBI RESPOSTA ALGUMA E AGORA DIZ QUE FOI ENTREGUE!  COMO ASSIM???  A empresa nem sequer me respondeu!!  E agora?? Perdi meu dinheiro??",1
Tudo certo conforme o anúncio. O produto chegou rápido e em perfeitas condições.,5
"Produto ótimo, e em perfeita condições, compro sempre pelo site da americana, esse ja é meu terceiro celular que compro, e não tenho o que reclamar. satisfeita demais!",5
"O produto já quebrou, não completou 15 dias de uso",1
"O produto até o momento atende bem pra quem usa todo dia, porém se for encher a mochila seu tempo de uso vai diminuir. O material da mochila é bom, a alça não é muito confortável mas é resistente. Se o objetivo é usar levando notebook aconselho outro produto, o compartimento de notebook é bem ruim, a espuma é muito fina e não protege bem.",3
"A arara é fraca e não suporta poucos cabides com roupas leves, imagine se colocar algumas peças mais pesadas, ela tomba ou fica desequilibrada, O produto  é de  péssima qualidade, não da nem para usar como varal.",1
"Comprei 3 unidades no FRSBEST e chegou apenas 1 unidade, já tem mais de 10 dias que ultrapassou o prazo fornecido, e 40 dias deste que comprei. Portanto eu não recomendo. o suporte da americanas e o fornecedor é horrível, eu realmente gostaria de elogiar em si, mas não é bem assim. De algo bom, está me dando bastante dor de cabeça, espero que o Procon e os meios jurídicos resolvam.  O produto é muito bom, não é android puro,tem um sistema da xiaomi, mas não deixa a desejar, tem o armazenamento é pouco, pois divide com o sistema da xiaomi entre outros app nativo, perde bastante armazenamento de 16gb vai pra 9gb, muita coisa na minha opinião.",1
"Melhor marca de secador.  Forte, silencioso e seca super bem. É meu terceiro secador. Só compro Taiff",5
"Produto bonito, prático, leve e funciona perfeitamente bem, super recomendo.",5
"Cada dia com ele é um novo aprendizado, muito bom. Para quem tem condição é um bom investimento.",5
"O material é regular, as rodas se soltam com facilidade, para meu filho o uso é razoável mas não é muito resistente",2
"Um DVD que vale a pena ter para a posteridade, Rihanna com músicas maravilhosas e uma energia que só ela tem!!",5
"Lindas e baratas, valem muito a pena. Ótima marca e sandálias excelentes.",5
"Não esperava que um produto deste não viria com Windows. Decepção total , não consigo baixar apps , vídeos que passei do meu antigo netbook para armazenar nele, não faz leitura. Um horror !!!!! Até a velocidade e capacidade de Wi-Fi é ruim . Arrependimento, se pudesse trocaria !!!!",1
"péssimo produto, os botões ficar falhando e o frete é caro, não gaste seu dinheiro com essa porcaria!!",1
"Muito bom o bebedouro.. facil de limpar, pratico. controle de agua pratico",4
"Horrível não recomendo americanas a ninguém,pois não me retornaram o e-mail e nada. Fiz o pagamento quando chegou na minha casa o produto estava gasto,riscado,sujo,com cola  Simplesmente não era igual o anuncio,parecia até que estava usado que simplesmente colocaram na caixa e me entregaram",1
"O produto deve ser bom, ""deve ser"" pois ainda nao recebi. A entrega esta atrasada. Nunca mais compro em lojas que utilizem a Directlog para entrega.",3
"o produto tem boa aplicação e qualidade, conseguindo deixar os cabelos conforme o desejado.",4
"A tábua de passar tem um tamanho ótimo, compacto.  Ela é resistente e bonita.",5
Produto excelente. Além do mais tem um belo design. Recomendo!,5
"Bom... nunca tive TV dessa marca, mas quis arriscar pelo valor, por ser a mais em conta no mercado e por ser Smart.  ""Mas como diz aquele velho ditado: O barato sai caro""  Essa TV tem uma ótima imagem, porém trava muito, demora para mudar os canais, as vezes dá erro e só é possivel voltar ao normal quando desliga da tomada, mas mesmo assim volta a travar, então corre o risco muito grande de queimar a TV pelo fato de ficar tirando da tomada. Os botoes netflix e youtube não funcionam no controle.  Tem que ficar atualizando o android, então acho que para uma pessoas que não esteja muito por dentro de tecnologias dificilmente conseguiria atualizar pois da um trabalho.  Para atualização do android tem que pegar o modelo no site da Philco -  baixar arquivo- transferir para o pendrive e baixar na TV. Mesmo assim no site da própria marca não é possivel localizar o modelo dessa TV, nem a própria marca facilita.  Optei por escolher outro produto de uma marca que já conheço e, é bem melhor, paguei R$300,00 mais caro mas atende minhas expectativas.  Abs,",2
"Não cumpre o que promete. Já rasgou o maior, quando consigo fechar fica bom",2
"Apesar de ser um pouco caro a unidade do produto, vale a pena investir um pouco na qualidade. Poderiam ter dado um desconto de 95% para quem comprou acima de duas unidades. Recomendo. E ponto final.",5
Gostaria primeiramente de elogiar a americanas pela rapidez na entrega e depois pelo produto cd e dvd maravilhoso.,5
"O produto é excelente e a entrega foi bem antes do previsto, adorei.",5
Sempre uso e não deixa a desejar. O único problema é a renovação anual.,5
O botão que abre e fecha o fluxo de água é mto duro e as vezes trava.,2
Produto muito bom Entrega rápida  Entrega no prazo determinado Recomendo a todos,4
"Poderia acender para da a entender que se trata de uma lâmpada, mas pelo valor está valendo. Gostei do produto.",3
"Estou insatisfeito porque não recebi o manual do computador. O manual é importante porque especifica o modelo da placa mãe, placa de rede etc. Também não recebi o cd referente aos os drivers.",2
"Gostei bastante. Achei totalmente funcional. Rapidamente o churrasco fica pronto. Parabéns. Só achei um pouco frágil, magrinha. Mas é bacana.",5
Melhor celular que já tive. Excelente. Tudo funciona muito bem. Adorei. Quem ganhou o outro de presente também amou. Recomendo a todos....,5
Muito pratico e facil de usar bom para todos os dias,5
"Ótimo produto, panelas perfeitas, tamanho de acordo com o que eu precisava, simplesmente amei.",5
Muito bom o celular. O único ponto negativo é o grande tempo que leva para recarregar a bateria.,4
"COMO AVALIAR SE AINDA NÃO O RECEBI, MAIS DE 10 DIAS DE ATRASO.",1
"Excelente cabo, otima conexao e super resistente. Funcionou perfeitamente.",5
"Também comprei em Janeiro e ate agora não entregaram, nem as americanas resolve o problema, não te atende direito nao te responde, não recomendo comprar.",1
"Produto moderno , com requisitos avançados que permitem melhor agilidade no desenvolvimento de trabalhos e capacidade de armazenamento.  Recomendo , além disso , é leve e muito bonito.",4
"O aparelho é bom,roda bem,o que não gostei foi a câmera por ser selfi deixou a desejar,câmera com muita claridade fica uma foto pálida......",3
Produto muito bom pelo valor! Entrega: muito agiu foi muito bom comprar com a Americanas. Recomendo para todos!,5
"No dia 19/05/2018 comprei o Carregador Pineng Power Bank Pn-999- 20.000 Mah-Dourada com previsão de entrega para dia 04/06/2018. O produto foi entregue, porem, mandaram outro produto, um Carregador Portatil Power Bank Pn-917- 20.000 Mah- Branco. Estou totalmente insatisfeito, fiz contato com a AMERICANAS que solicitou devolução do produto para troca em até 2 dias e previsão de uma nova entrega do produto correto em até 16 dias úteis. Absurdo, numa situação assim, as empresas responsáveis deveriam providenciar a troca do produto imediatamente. Tenho viagem marcada e preciso do carregador. Fora que a atendente relatou que não tem mais o produto, mas tem no site para vender. Espero uma resposta imediata das empresas para solucionar o problema e assim não deixar mais um cliente insatisfeito. Americanas e JLMIX, aguardo um retorno o mais breve possível.",1
"Entrega rápida, produto compatível com o preço,mas uma panela veio riscada dentro, deixando a peça com aparência ruim.",2
Os produtos são ótimos porém demorou muito mais de oito dias de atraso. Até pensei  que  não ia chegar.,3
"Sai pouquíssima água, leva 2 minutos pra encher um copo pequeno. E nada tem a ver com a pressão da água, pois até a água gelada que vem do reservatório sai pouca. Até esperar acabar de encher o copo a sede já passou.",2
Excelente rápido na entrega do jeito que eu esperava,4
okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk......................................................................................,3
"Produto foi feito para reparar a máquina de vidro original do Fox, mas os cabos de aço são um pouco mais curtos que os originais, o que dificulta a instalação dos mesmos na máquina, principalmente na hora de enrolar na roldana do motor. Apesar disso, consegui reparar a máquina e agora o vidro elétrico funciona novamente.",2
"Material de ótima qualidade, auxilia na praticidade culinária, ornamenta a cozinha de maneira muito elegante e moderna. Recomendo!",5
"A entrega foi muito rapida. A montagem da cadeira foi fácil e rapida. Conduto, a peça final (pequeno suporte para as costas) veio quebrada e nao é possivel encaixá-la. Me pareceu até que a cadeira ja havia sido montada antes, notei algumas pequenas marcas de roscas e uso.  A cadeira é realmente muito boa, contudo não consigo contato da Americanas, o link para devolucao está fora do ar e o FAQ manda para os mesmos links que nao funcionam.  Em resumo, a marca parace muito boa mas infelizmente a experiencia de suporte com americanas muito a desejar.",4
"Maravilhosa desliza super bem , é bivolt esquenta super rápido quem comprar não vai se arrepender",5
"Tudo dentro do esperado, prazo , produto, preço. Recomendo a todos.",4
"o livro é muito bom, bem detalhado e com diversos esclarecimentos úteis para a população",4
vazamentos e não veio como estava na descrição eu.comprei por 12 ml e veio por 10.5 kl,1
"lojas americanas sempre com compromisso em suas entrgas gostei mto de fazer uma compras com eles, bom dia.",5
recupera as pontas quebradas e fortalece e da crescimento para o cabelo,5
"Smartphone Samsung Galaxy J7 METAL : Produto chegou super rápido, é bonito bem funcional e recomendo...",4
"Excelente e útil produto, atendente a todas as necessidades.",5
"Excelente toner, impressão perfeita, como original. Comparando as impressões deste toner com as impressões do original, não dá pra notar diferença. Excelente produto!, me surpreendeu. Recomendo a todos!",5
"Imagem maravilhosa, vários aplicativos, gostei muito. O sistema de controle é inovador, o usuário apenas navega pelas opções, facilita tudo. Evita o a procura de funções no controle remoto. Grande sacada da Samsung!",5
"Comprei para instalar no kart do meu filho, mas não ficou muito legal. O motor original do kart, era mais potente! Inda bem que foi barato, pois se tivesse pago um valor absurdo, ficaria muito chateado!",2
"O produto chegou bem rápido, é bem bonitinho. Porém a montagem é bem complicada e o material bem fraco.",3
"O aparelho é ótimo, câmera excelente tem muitas funções não deixa nada a desejar, entrega dentro do prazo , parabéns a equipe,lojas Americanas.",5
"Jogo bom para quem gosta de ação e aventura,............................................................................................................................................................",3
nao recomendo mais essa loja e a parceira ...estou entrando com proscesso ...nao resolvem minha reclamacao nao recebi a penteadeira nao tive estorno da compra...nao m ligam nao m dao uma resposta ..falta d respeito nao indico nao indico,1
Após pesquisar muito sobre o aparelho decidi comprar e estou muito satisfeita! Imagem e som ótimos. Entrega dentro do prazo.,5
"Chegou antes do prazo estimado,, esse eu recomendo. Vendedor atencioso e competente.",5
"Essa tv é perfeita! Bela imagem, som forte e impecável! Antes de comprar vi muita reclamao só te os pés serem frágeis, mas eu sinceramente não achei, até pq essa tv é muito leve!  Estou satisfeitíssimo com minha aquisição!  E a americanas mais uma vez me surpreendeu com o prazo de entrega, foram apenas 5 dias, incluindo fds!",5
Parabens a toda rede.  Chegou antes do prazo!  Produto de excelente qualidade! Desde já obrigado!!!!!!!!!!,5
"O produto ficou acima das minhas espectativas, com uma tela grande bom espaço de memória e a rapidez sem travamento.Recomendo demais!",5
Adorei...muito bem acabado e bonito...entrega bem rápida...,5
O produto atendeu as minhas necessidades. O modelo é muito bonito e prático de usar.,4
Demorou quase um mes para chegar. Comprei para dar de presente de natal e o fui receber o produto dia 01/01/2018.,2
A mesa é mais bonita do que nas fotos. Muito fácil de montar. Acabamento muito bonito.,4
"Boa qualidade, exatamente como na imagem..............................................................................",5
COMO VOU AVALIAR ALGO QUE AINDA NÃO RECEBI ?????  JA CANSEI DE MANDAR E-MAILS E NÃO RECEBO RESPOSTA.,1
"Celular lindo, prático e com um bom custo benefício. Super satisfeita com a compra e com o produto. Como sempre a Americanas me surpreende com a rapidez da entrega! Por isso compro por aqui e nunca me decepcionei. Está de parabéns!",5
"comprei e fiquei satisfeito, era exatamente o que eu esperava",5
A entrega foi rápida e o produto é excelente!! Fácil de aplicar e fica lindo! Amei!!!,5
