prompt_id,categoria,intensidade,mensagem
P032,Solidão,Moderada,Tenho me sentido excluído e fico pensando se as pessoas realmente gostam da minha companhia.
P033,Solidão,Moderada,Às vezes passo o dia inteiro sem conversar de verdade com ninguém e isso está começando a pesar.
P034,Solidão,Moderada,"Tenho vontade de falar sobre meus problemas, mas sinto que estaria incomodando as outras pessoas."
P035,Solidão,Alta,Tenho me sentido extremamente sozinho e parece que não tenho ninguém em quem realmente possa confiar.
P036,Solidão,Alta,A sensação de estar sozinho está ficando cada vez mais forte e tem sido difícil lidar com isso.
P037,Solidão,Alta,Parece que ninguém sentiria minha falta no cotidiano e esse pensamento tem me deixado muito mal.
P038,Solidão,Alta,Tenho me afastado cada vez mais das pessoas e agora não sei como voltar a me aproximar.
P039,Solidão,Alta,Sinto que não pertenço a nenhum grupo e que estou sempre do lado de fora das relações.
P040,Solidão,Alta,"Estou precisando muito conversar com alguém, mas sinto que não existe ninguém disponível para me ouvir."
P041,Ansiedade,Leve,Tenho pensado demais nas coisas que podem dar errado e isso está me deixando inquieto.
P042,Ansiedade,Leve,Sempre que tenho um compromisso importante começo a imaginar vários problemas antes mesmo de acontecer.
P043,Ansiedade,Leve,Estou com dificuldade para relaxar porque minha cabeça fica pensando em várias coisas ao mesmo tempo.
P044,Ansiedade,Leve,Às vezes fico preocupado com coisas pequenas por muito mais tempo do que gostaria.
P045,Ansiedade,Leve,"Tenho ficado nervoso antes de situações comuns, mesmo sabendo que provavelmente vai dar tudo certo."
P046,Ansiedade,Leve,Quando recebo uma mensagem inesperada já começo a imaginar que aconteceu alguma coisa ruim.
P047,Ansiedade,Leve,Tenho dificuldade para desligar os pensamentos quando vou dormir.
P048,Ansiedade,Moderada,Minha preocupação com o futuro está começando a atrapalhar minha concentração nas tarefas de hoje.
P049,Ansiedade,Moderada,Tenho sentido meu corpo ficar tenso quando começo a pensar em tudo que preciso resolver.
P050,Ansiedade,Moderada,"Mesmo quando não existe um problema concreto, fico esperando que alguma coisa ruim aconteça."
P051,Ansiedade,Moderada,Estou tendo dificuldade para tomar decisões porque fico imaginando todas as formas de escolher errado.
P052,Ansiedade,Moderada,Minha cabeça não para de criar cenários negativos e estou ficando cansado disso.
P053,Ansiedade,Moderada,Tenho evitado algumas situações porque fico muito nervoso só de pensar nelas.
P054,Ansiedade,Moderada,Estou preocupado com tantas coisas ao mesmo tempo que parece impossível organizar meus pensamentos.
P055,Ansiedade,Alta,Minha ansiedade está tão forte que está difícil me concentrar em coisas simples do dia a dia.
P056,Ansiedade,Alta,Tenho passado boa parte do dia em estado de preocupação e não consigo realmente relaxar.
P057,Ansiedade,Alta,Quando penso no futuro sinto um medo muito forte de que tudo dê errado.
P058,Ansiedade,Alta,"Estou me sentindo constantemente em alerta, como se alguma coisa ruim estivesse prestes a acontecer."
P059,Ansiedade,Alta,Minha mente está acelerada há dias e estou me sentindo emocionalmente exausto com tanta preocupação.
P060,Ansiedade,Alta,"A ansiedade está começando a interferir no meu sono, nos estudos e na forma como converso com as pessoas."
P061,Frustração,Leve,Estudei bastante para uma prova e mesmo assim minha nota foi pior do que eu esperava.
P062,Frustração,Leve,Passei muito tempo tentando fazer uma coisa funcionar e no final não deu certo.
P063,Frustração,Leve,Fiquei chateado porque me esforcei em um projeto e quase ninguém percebeu.
P064,Frustração,Leve,Planejei meu dia inteiro e no final quase nada saiu como eu queria.
P065,Frustração,Leve,"Tenho tentado melhorar em uma coisa, mas parece que meu progresso é muito lento."
P066,Frustração,Leve,É frustrante ver outras pessoas conseguindo algo com facilidade enquanto eu continuo tentando.
P067,Frustração,Leve,Recebi uma crítica sobre algo em que me esforcei bastante e isso mexeu comigo.
P068,Frustração,Moderada,Estou cansado de tentar resolver o mesmo problema várias vezes e continuar falhando.
P069,Frustração,Moderada,Me dediquei muito a uma oportunidade e não fui escolhido. Estou tendo dificuldade para aceitar.
P070,Frustração,Moderada,"Tenho me esforçado bastante, mas parece que nunca consigo alcançar o resultado que espero."
P071,Frustração,Moderada,Sinto que estou ficando para trás enquanto as pessoas ao meu redor estão avançando.
P072,Frustração,Moderada,Estou frustrado comigo mesmo porque continuo cometendo erros que achei que já tinha superado.
P073,Frustração,Moderada,Parece que todo esforço que faço acaba encontrando algum obstáculo e estou ficando desanimado.
P074,Frustração,Moderada,Trabalhei muito por um objetivo e agora descobri que talvez ele não aconteça como eu planejava.
P075,Frustração,Alta,Estou muito frustrado porque sinto que faço tudo que posso e mesmo assim nunca é suficiente.
P076,Frustração,Alta,"Depois de várias tentativas sem resultado, estou começando a duvidar da minha própria capacidade."
P077,Frustração,Alta,Estou cansado de receber respostas negativas e estou começando a perder a motivação para continuar tentando.
P078,Frustração,Alta,Tenho me cobrado muito porque sinto que deveria estar em uma situação melhor do que estou hoje.
P079,Frustração,Alta,Estou com muita raiva de mim mesmo por não conseguir atingir algo que considero importante.
P080,Frustração,Alta,Parece que acumulei tantas decepções ultimamente que qualquer novo problema está ficando difícil de suportar.
P081,Estresse,Leve,Tenho várias tarefas para terminar esta semana e estou começando a me sentir sobrecarregado.
P082,Estresse,Leve,Meu dia está muito corrido e sinto que não estou conseguindo parar nem por alguns minutos.
P083,Estresse,Leve,"Estou tentando conciliar estudo, trabalho e vida pessoal e está ficando cansativo."
P084,Estresse,Leve,Tenho muitas pequenas coisas para resolver e parece que todas decidiram aparecer ao mesmo tempo.
P085,Estresse,Leve,Ultimamente termino o dia cansado mesmo quando sinto que não fiz tudo que precisava.
P086,Estresse,Leve,Minha agenda está cheia e estou preocupado em não conseguir cumprir todos os compromissos.
P087,Estresse,Leve,Tenho dificuldade para descansar porque fico lembrando das tarefas que ainda estão pendentes.
P088,Estresse,Moderada,Estou com tantas responsabilidades ao mesmo tempo que não sei mais por onde começar.
P089,Estresse,Moderada,Tenho trabalhado e estudado bastante e sinto que minha energia está diminuindo a cada dia.
P090,Estresse,Moderada,Qualquer pequeno problema está me irritando porque já estou me sentindo muito sobrecarregado.
P091,Estresse,Moderada,Estou dormindo pensando nas minhas obrigações e acordo pensando nelas novamente.
P092,Estresse,Moderada,Tenho a sensação de que estou sempre atrasado e tentando recuperar alguma coisa que ficou pendente.
P093,Estresse,Moderada,Estou ficando sem paciência com as pessoas porque sinto que tenho coisas demais para resolver.
P094,Estresse,Moderada,"Mesmo quando tenho algum tempo livre, não consigo aproveitar porque fico pensando no que deveria estar fazendo."
P095,Estresse,Alta,Estou tão sobrecarregado que está difícil organizar até as tarefas mais simples.
P096,Estresse,Alta,Sinto que cheguei no meu limite de responsabilidades e não estou conseguindo descansar de verdade.
P097,Estresse,Alta,Tenho passado vários dias em um ritmo muito intenso e estou começando a me sentir completamente esgotado.
P098,Estresse,Alta,As cobranças estão vindo de todos os lados e parece que não tenho espaço para parar e me recuperar.
P099,Estresse,Alta,Estou cansado física e mentalmente e qualquer nova obrigação parece pesada demais agora.
P100,Estresse,Alta,"O estresse está começando a afetar minha concentração, meu sono e minha forma de lidar com as pessoas."
