response_id,rf_label,rf_score
M033_ANTHROPIC,POSITIVO,0.606667
M033_META,POSITIVO,0.6
M034_OPENAI,POSITIVO,0.506667
M034_ANTHROPIC,NEUTRO,0.406667
M034_META,POSITIVO,0.553333
M035_OPENAI,POSITIVO,0.533333
M035_ANTHROPIC,NEGATIVO,0.473333
M035_META,POSITIVO,0.486667
M036_OPENAI,POSITIVO,0.44
M036_ANTHROPIC,NEGATIVO,0.48
M036_META,POSITIVO,0.506667
M037_OPENAI,POSITIVO,0.566667
M037_ANTHROPIC,POSITIVO,0.506667
M037_META,POSITIVO,0.58
M038_OPENAI,POSITIVO,0.506667
M038_ANTHROPIC,POSITIVO,0.46
M038_META,POSITIVO,0.54
M039_OPENAI,POSITIVO,0.5
M039_ANTHROPIC,NEGATIVO,0.533333
M039_META,POSITIVO,0.566667
M040_OPENAI,POSITIVO,0.433333
M040_ANTHROPIC,POSITIVO,0.453333
M040_META,POSITIVO,0.56
M041_OPENAI,NEGATIVO,0.54
M041_ANTHROPIC,NEGATIVO,0.426667
M041_META,NEGATIVO,0.453333
M042_OPENAI,NEGATIVO,0.493333
M042_ANTHROPIC,POSITIVO,0.44
M042_META,POSITIVO,0.666667
M043_OPENAI,POSITIVO,0.433333
M043_ANTHROPIC,POSITIVO,0.473333
M043_META,POSITIVO,0.5
M044_OPENAI,POSITIVO,0.46
M044_ANTHROPIC,NEGATIVO,0.46
M044_META,POSITIVO,0.593333
M045_OPENAI,POSITIVO,0.646667
M045_ANTHROPIC,POSITIVO,0.566667
M045_META,POSITIVO,0.733333
M046_OPENAI,POSITIVO,0.486667
M046_ANTHROPIC,POSITIVO,0.66
M046_META,POSITIVO,0.66
M047_OPENAI,NEGATIVO,0.453333
M047_ANTHROPIC,POSITIVO,0.6
M047_META,POSITIVO,0.533333
M048_OPENAI,POSITIVO,0.526667
M048_ANTHROPIC,POSITIVO,0.56
M048_META,POSITIVO,0.573333
M049_OPENAI,NEGATIVO,0.56
M049_ANTHROPIC,POSITIVO,0.46
M049_META,POSITIVO,0.54
M050_OPENAI,POSITIVO,0.453333
M050_ANTHROPIC,NEGATIVO,0.48
M050_META,POSITIVO,0.487333
M051_OPENAI,NEGATIVO,0.526667
M051_ANTHROPIC,POSITIVO,0.46
M051_META,POSITIVO,0.573333
M052_OPENAI,NEGATIVO,0.506667
M052_ANTHROPIC,POSITIVO,0.466667
M052_META,NEGATIVO,0.481333
M053_OPENAI,POSITIVO,0.426667
M053_ANTHROPIC,NEGATIVO,0.433333
M053_META,POSITIVO,0.566667
M054_OPENAI,POSITIVO,0.446667
M054_ANTHROPIC,POSITIVO,0.586667
M054_META,POSITIVO,0.573333
M055_OPENAI,POSITIVO,0.526667
M055_ANTHROPIC,POSITIVO,0.506667
M055_META,POSITIVO,0.46
M056_OPENAI,NEGATIVO,0.48
M056_ANTHROPIC,POSITIVO,0.52
M056_META,POSITIVO,0.58
M057_OPENAI,NEGATIVO,0.48
M057_ANTHROPIC,NEGATIVO,0.42
M057_META,POSITIVO,0.626667
M058_OPENAI,POSITIVO,0.46
M058_ANTHROPIC,NEGATIVO,0.44
M058_META,POSITIVO,0.46
M059_OPENAI,POSITIVO,0.46
M059_ANTHROPIC,NEGATIVO,0.633333
M059_META,POSITIVO,0.453333
M060_OPENAI,NEGATIVO,0.5
M060_ANTHROPIC,POSITIVO,0.48
M060_META,POSITIVO,0.573333
M061_OPENAI,NEUTRO,0.426667
M061_ANTHROPIC,NEGATIVO,0.353333
M061_META,POSITIVO,0.493333
M062_OPENAI,POSITIVO,0.46
M062_ANTHROPIC,NEGATIVO,0.6
M062_META,POSITIVO,0.606667
M063_OPENAI,POSITIVO,0.46
M063_ANTHROPIC,POSITIVO,0.586667
M063_META,POSITIVO,0.606667
M064_OPENAI,POSITIVO,0.44
M064_ANTHROPIC,POSITIVO,0.453333
M064_META,POSITIVO,0.62
M065_OPENAI,NEUTRO,0.526667
M065_ANTHROPIC,NEGATIVO,0.533333
M065_META,POSITIVO,0.56
M066_OPENAI,NEGATIVO,0.44
M066_ANTHROPIC,POSITIVO,0.466667
M066_META,POSITIVO,0.56
M067_OPENAI,POSITIVO,0.46
M067_ANTHROPIC,NEGATIVO,0.506667
M067_META,POSITIVO,0.52
M068_OPENAI,POSITIVO,0.513333
M068_ANTHROPIC,NEGATIVO,0.433333
M068_META,POSITIVO,0.453333
M069_OPENAI,POSITIVO,0.36
M069_ANTHROPIC,POSITIVO,0.5
M069_META,POSITIVO,0.44
M070_OPENAI,NEGATIVO,0.453333
M070_ANTHROPIC,POSITIVO,0.506667
M070_META,POSITIVO,0.533333
M071_OPENAI,POSITIVO,0.666667
M071_ANTHROPIC,NEGATIVO,0.506667
M071_META,POSITIVO,0.533333
M072_OPENAI,POSITIVO,0.453333
M072_ANTHROPIC,POSITIVO,0.546667
M072_META,POSITIVO,0.62
M073_OPENAI,POSITIVO,0.446667
M073_ANTHROPIC,POSITIVO,0.56
M073_META,POSITIVO,0.586667
M074_OPENAI,POSITIVO,0.506667
M074_ANTHROPIC,NEGATIVO,0.526667
M074_META,POSITIVO,0.493333
M075_OPENAI,NEUTRO,0.6
M075_ANTHROPIC,POSITIVO,0.486667
M075_META,POSITIVO,0.58
M076_OPENAI,POSITIVO,0.493333
M076_ANTHROPIC,POSITIVO,0.413333
M076_META,POSITIVO,0.546667
M077_OPENAI,POSITIVO,0.48
M077_ANTHROPIC,POSITIVO,0.413333
M077_META,POSITIVO,0.673333
M078_OPENAI,POSITIVO,0.513333
M078_ANTHROPIC,POSITIVO,0.593333
M078_META,POSITIVO,0.486667
M079_OPENAI,NEUTRO,0.379048
M079_ANTHROPIC,NEGATIVO,0.413333
M079_META,POSITIVO,0.586667
M080_OPENAI,POSITIVO,0.533333
M080_ANTHROPIC,NEGATIVO,0.54
M080_META,POSITIVO,0.593333
M081_OPENAI,POSITIVO,0.46
M081_ANTHROPIC,NEGATIVO,0.473333
M081_META,POSITIVO,0.613333
M082_OPENAI,POSITIVO,0.54
M082_ANTHROPIC,POSITIVO,0.54
M082_META,NEGATIVO,0.433333
M083_OPENAI,POSITIVO,0.52
M083_ANTHROPIC,POSITIVO,0.44
M083_META,POSITIVO,0.54
M084_OPENAI,POSITIVO,0.466667
M084_ANTHROPIC,NEGATIVO,0.488
M084_META,POSITIVO,0.633333
M085_OPENAI,NEGATIVO,0.5
M085_ANTHROPIC,POSITIVO,0.48
M085_META,POSITIVO,0.553333
M086_OPENAI,POSITIVO,0.566667
M086_ANTHROPIC,POSITIVO,0.44
M086_META,POSITIVO,0.653333
M087_OPENAI,NEGATIVO,0.44
M087_ANTHROPIC,NEGATIVO,0.453333
M087_META,POSITIVO,0.473333
M088_OPENAI,POSITIVO,0.46
M088_ANTHROPIC,NEGATIVO,0.481667
M088_META,POSITIVO,0.593333
M089_OPENAI,POSITIVO,0.446667
M089_ANTHROPIC,NEGATIVO,0.506667
M089_META,POSITIVO,0.566667
M090_OPENAI,POSITIVO,0.486667
M090_ANTHROPIC,POSITIVO,0.586667
M090_META,POSITIVO,0.54
M091_OPENAI,POSITIVO,0.613333
M091_ANTHROPIC,POSITIVO,0.440667
M091_META,POSITIVO,0.606667
M092_OPENAI,POSITIVO,0.633333
M092_ANTHROPIC,POSITIVO,0.373333
M092_META,POSITIVO,0.413333
M093_OPENAI,POSITIVO,0.553333
M093_ANTHROPIC,NEGATIVO,0.443333
M093_META,POSITIVO,0.613333
M094_OPENAI,NEGATIVO,0.52
M094_ANTHROPIC,POSITIVO,0.493333
M094_META,POSITIVO,0.533333
M095_OPENAI,POSITIVO,0.52
M095_ANTHROPIC,POSITIVO,0.413333
M095_META,POSITIVO,0.653333
M096_OPENAI,POSITIVO,0.48
M096_ANTHROPIC,POSITIVO,0.486667
M096_META,POSITIVO,0.54
M097_OPENAI,NEGATIVO,0.446667
M097_ANTHROPIC,NEGATIVO,0.406667
M097_META,POSITIVO,0.553333
M098_OPENAI,NEGATIVO,0.506667
M098_ANTHROPIC,NEGATIVO,0.46
M098_META,POSITIVO,0.6
M099_OPENAI,POSITIVO,0.46
M099_ANTHROPIC,NEGATIVO,0.46
M099_META,POSITIVO,0.56
M100_OPENAI,NEGATIVO,0.613333
M100_ANTHROPIC,NEGATIVO,0.413333
M100_META,POSITIVO,0.573333
