response_id,rf_label,rf_sentimento_pt,rf_score,classificacao,caramelo_sentimento_pt,caramelo_score,concordancia
M027_OPENAI,NEGATIVO,Negativo,0.42,negative,Negativo,0.986785,True
M027_ANTHROPIC,NEGATIVO,Negativo,0.386667,neutral,Neutro,0.829722,False
M027_META,POSITIVO,Positivo,0.493333,neutral,Neutro,0.686736,False
M028_OPENAI,NEGATIVO,Negativo,0.533333,negative,Negativo,0.987018,True
M028_ANTHROPIC,NEGATIVO,Negativo,0.46,negative,Negativo,0.900888,True
M028_META,POSITIVO,Positivo,0.58,neutral,Neutro,0.841861,False
M029_OPENAI,POSITIVO,Positivo,0.506667,negative,Negativo,0.980956,False
M029_ANTHROPIC,POSITIVO,Positivo,0.433333,positive,Positivo,0.976329,True
M029_META,POSITIVO,Positivo,0.526667,negative,Negativo,0.392473,False
M030_OPENAI,POSITIVO,Positivo,0.526667,negative,Negativo,0.963455,False
M030_ANTHROPIC,NEGATIVO,Negativo,0.54,negative,Negativo,0.988069,True
M030_META,POSITIVO,Positivo,0.54,neutral,Neutro,0.502733,False
M031_OPENAI,NEGATIVO,Negativo,0.52,neutral,Neutro,0.817882,False
M031_ANTHROPIC,POSITIVO,Positivo,0.446667,neutral,Neutro,0.954146,False
M031_META,POSITIVO,Positivo,0.52,neutral,Neutro,0.973451,False
M032_OPENAI,POSITIVO,Positivo,0.493333,negative,Negativo,0.731165,False
M032_ANTHROPIC,POSITIVO,Positivo,0.473333,negative,Negativo,0.943101,False
M032_META,POSITIVO,Positivo,0.566667,negative,Negativo,0.976953,False
M033_OPENAI,NEUTRO,Neutro,0.553333,positive,Positivo,0.990047,False
M033_ANTHROPIC,POSITIVO,Positivo,0.606667,positive,Positivo,0.988851,True
M033_META,POSITIVO,Positivo,0.6,positive,Positivo,0.976861,True
M034_OPENAI,POSITIVO,Positivo,0.506667,negative,Negativo,0.825091,False
M034_ANTHROPIC,NEUTRO,Neutro,0.406667,neutral,Neutro,0.560883,True
M034_META,POSITIVO,Positivo,0.553333,negative,Negativo,0.78902,False
M035_OPENAI,POSITIVO,Positivo,0.533333,negative,Negativo,0.986606,False
M035_ANTHROPIC,NEGATIVO,Negativo,0.473333,positive,Positivo,0.865935,False
M035_META,POSITIVO,Positivo,0.486667,negative,Negativo,0.755153,False
M036_OPENAI,POSITIVO,Positivo,0.44,neutral,Neutro,0.625506,False
M036_ANTHROPIC,NEGATIVO,Negativo,0.48,positive,Positivo,0.472881,False
M036_META,POSITIVO,Positivo,0.506667,neutral,Neutro,0.936734,False
M037_OPENAI,POSITIVO,Positivo,0.566667,neutral,Neutro,0.894072,False
M037_ANTHROPIC,POSITIVO,Positivo,0.506667,positive,Positivo,0.722937,True
M037_META,POSITIVO,Positivo,0.58,positive,Positivo,0.985927,True
M038_OPENAI,POSITIVO,Positivo,0.506667,negative,Negativo,0.981799,False
M038_ANTHROPIC,POSITIVO,Positivo,0.46,negative,Negativo,0.986249,False
M038_META,POSITIVO,Positivo,0.54,positive,Positivo,0.749854,True
M039_OPENAI,POSITIVO,Positivo,0.5,negative,Negativo,0.988291,False
M039_ANTHROPIC,NEGATIVO,Negativo,0.533333,negative,Negativo,0.981104,True
M039_META,POSITIVO,Positivo,0.566667,negative,Negativo,0.709118,False
M040_OPENAI,POSITIVO,Positivo,0.433333,negative,Negativo,0.654221,False
M040_ANTHROPIC,POSITIVO,Positivo,0.453333,negative,Negativo,0.984151,False
M040_META,POSITIVO,Positivo,0.56,negative,Negativo,0.468219,False
M041_OPENAI,NEGATIVO,Negativo,0.54,negative,Negativo,0.97589,True
M041_ANTHROPIC,NEGATIVO,Negativo,0.426667,neutral,Neutro,0.595686,False
M041_META,NEGATIVO,Negativo,0.453333,negative,Negativo,0.961425,True
M042_OPENAI,NEGATIVO,Negativo,0.493333,neutral,Neutro,0.809814,False
M042_ANTHROPIC,POSITIVO,Positivo,0.44,negative,Negativo,0.988851,False
M042_META,POSITIVO,Positivo,0.666667,neutral,Neutro,0.815319,False
M043_OPENAI,POSITIVO,Positivo,0.433333,negative,Negativo,0.987374,False
M043_ANTHROPIC,POSITIVO,Positivo,0.473333,negative,Negativo,0.823234,False
M043_META,POSITIVO,Positivo,0.5,negative,Negativo,0.987603,False
M044_OPENAI,POSITIVO,Positivo,0.46,neutral,Neutro,0.910567,False
M044_ANTHROPIC,NEGATIVO,Negativo,0.46,neutral,Neutro,0.920999,False
M044_META,POSITIVO,Positivo,0.593333,neutral,Neutro,0.631,False
M045_OPENAI,POSITIVO,Positivo,0.646667,negative,Negativo,0.916232,False
M045_ANTHROPIC,POSITIVO,Positivo,0.566667,neutral,Neutro,0.849532,False
M045_META,POSITIVO,Positivo,0.733333,neutral,Neutro,0.673758,False
M046_OPENAI,POSITIVO,Positivo,0.486667,neutral,Neutro,0.964407,False
M046_ANTHROPIC,POSITIVO,Positivo,0.66,positive,Positivo,0.990144,True
M046_META,POSITIVO,Positivo,0.66,positive,Positivo,0.984937,True
M047_OPENAI,NEGATIVO,Negativo,0.453333,negative,Negativo,0.951281,True
M047_ANTHROPIC,POSITIVO,Positivo,0.6,positive,Positivo,0.64296,True
M047_META,POSITIVO,Positivo,0.533333,neutral,Neutro,0.977435,False
M048_OPENAI,POSITIVO,Positivo,0.526667,negative,Negativo,0.834154,False
M048_ANTHROPIC,POSITIVO,Positivo,0.56,negative,Negativo,0.975096,False
M048_META,POSITIVO,Positivo,0.573333,negative,Negativo,0.980147,False
M049_OPENAI,NEGATIVO,Negativo,0.56,negative,Negativo,0.956666,True
M049_ANTHROPIC,POSITIVO,Positivo,0.46,negative,Negativo,0.983347,False
M049_META,POSITIVO,Positivo,0.54,negative,Negativo,0.959171,False
M050_OPENAI,POSITIVO,Positivo,0.453333,negative,Negativo,0.435917,False
M050_ANTHROPIC,NEGATIVO,Negativo,0.48,positive,Positivo,0.969798,False
M050_META,POSITIVO,Positivo,0.487333,negative,Negativo,0.693689,False
M051_OPENAI,NEGATIVO,Negativo,0.526667,negative,Negativo,0.968382,True
M051_ANTHROPIC,POSITIVO,Positivo,0.46,neutral,Neutro,0.880067,False
M051_META,POSITIVO,Positivo,0.573333,positive,Positivo,0.731749,True
M052_OPENAI,NEGATIVO,Negativo,0.506667,negative,Negativo,0.986423,True
M052_ANTHROPIC,POSITIVO,Positivo,0.466667,negative,Negativo,0.9832,False
M052_META,NEGATIVO,Negativo,0.481333,neutral,Neutro,0.75803,False
M053_OPENAI,POSITIVO,Positivo,0.426667,positive,Positivo,0.960386,True
M053_ANTHROPIC,NEGATIVO,Negativo,0.433333,neutral,Neutro,0.77246,False
M053_META,POSITIVO,Positivo,0.566667,positive,Positivo,0.859611,True
M054_OPENAI,POSITIVO,Positivo,0.446667,neutral,Neutro,0.607868,False
M054_ANTHROPIC,POSITIVO,Positivo,0.586667,negative,Negativo,0.981873,False
M054_META,POSITIVO,Positivo,0.573333,positive,Positivo,0.972695,True
M055_OPENAI,POSITIVO,Positivo,0.526667,negative,Negativo,0.9851,False
M055_ANTHROPIC,POSITIVO,Positivo,0.506667,negative,Negativo,0.982614,False
M055_META,POSITIVO,Positivo,0.46,negative,Negativo,0.976958,False
M056_OPENAI,NEGATIVO,Negativo,0.48,neutral,Neutro,0.608636,False
M056_ANTHROPIC,POSITIVO,Positivo,0.52,negative,Negativo,0.940973,False
M056_META,POSITIVO,Positivo,0.58,neutral,Neutro,0.785172,False
M057_OPENAI,NEGATIVO,Negativo,0.48,positive,Positivo,0.963084,False
M057_ANTHROPIC,NEGATIVO,Negativo,0.42,positive,Positivo,0.990674,False
M057_META,POSITIVO,Positivo,0.626667,positive,Positivo,0.994809,True
M058_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.493837,False
M058_ANTHROPIC,NEGATIVO,Negativo,0.44,positive,Positivo,0.974505,False
M058_META,POSITIVO,Positivo,0.46,neutral,Neutro,0.487724,False
M059_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.781555,False
M059_ANTHROPIC,NEGATIVO,Negativo,0.633333,negative,Negativo,0.968479,True
M059_META,POSITIVO,Positivo,0.453333,neutral,Neutro,0.917022,False
M060_OPENAI,NEGATIVO,Negativo,0.5,neutral,Neutro,0.747008,False
M060_ANTHROPIC,POSITIVO,Positivo,0.48,neutral,Neutro,0.546238,False
M060_META,POSITIVO,Positivo,0.573333,positive,Positivo,0.501891,True
M061_OPENAI,NEUTRO,Neutro,0.426667,positive,Positivo,0.988225,False
M061_ANTHROPIC,NEGATIVO,Negativo,0.353333,positive,Positivo,0.989427,False
M061_META,POSITIVO,Positivo,0.493333,positive,Positivo,0.993471,True
M062_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.987479,False
M062_ANTHROPIC,NEGATIVO,Negativo,0.6,negative,Negativo,0.983623,True
M062_META,POSITIVO,Positivo,0.606667,negative,Negativo,0.988027,False
M063_OPENAI,POSITIVO,Positivo,0.46,neutral,Neutro,0.73511,False
M063_ANTHROPIC,POSITIVO,Positivo,0.586667,neutral,Neutro,0.904459,False
M063_META,POSITIVO,Positivo,0.606667,neutral,Neutro,0.907477,False
M064_OPENAI,POSITIVO,Positivo,0.44,positive,Positivo,0.828378,True
M064_ANTHROPIC,POSITIVO,Positivo,0.453333,positive,Positivo,0.988416,True
M064_META,POSITIVO,Positivo,0.62,positive,Positivo,0.98496,True
M065_OPENAI,NEUTRO,Neutro,0.526667,neutral,Neutro,0.523759,True
M065_ANTHROPIC,NEGATIVO,Negativo,0.533333,neutral,Neutro,0.889874,False
M065_META,POSITIVO,Positivo,0.56,negative,Negativo,0.944692,False
M066_OPENAI,NEGATIVO,Negativo,0.44,negative,Negativo,0.931105,True
M066_ANTHROPIC,POSITIVO,Positivo,0.466667,neutral,Neutro,0.978027,False
M066_META,POSITIVO,Positivo,0.56,neutral,Neutro,0.833279,False
M067_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.887176,False
M067_ANTHROPIC,NEGATIVO,Negativo,0.506667,neutral,Neutro,0.93784,False
M067_META,POSITIVO,Positivo,0.52,positive,Positivo,0.908952,True
M068_OPENAI,POSITIVO,Positivo,0.513333,positive,Positivo,0.937848,True
M068_ANTHROPIC,NEGATIVO,Negativo,0.433333,positive,Positivo,0.921339,False
M068_META,POSITIVO,Positivo,0.453333,neutral,Neutro,0.570636,False
M069_OPENAI,POSITIVO,Positivo,0.36,positive,Positivo,0.503506,True
M069_ANTHROPIC,POSITIVO,Positivo,0.5,positive,Positivo,0.973785,True
M069_META,POSITIVO,Positivo,0.44,positive,Positivo,0.991905,True
M070_OPENAI,NEGATIVO,Negativo,0.453333,negative,Negativo,0.986748,True
M070_ANTHROPIC,POSITIVO,Positivo,0.506667,negative,Negativo,0.98412,False
M070_META,POSITIVO,Positivo,0.533333,negative,Negativo,0.639287,False
M071_OPENAI,POSITIVO,Positivo,0.666667,positive,Positivo,0.97601,True
M071_ANTHROPIC,NEGATIVO,Negativo,0.506667,positive,Positivo,0.943885,False
M071_META,POSITIVO,Positivo,0.533333,positive,Positivo,0.657307,True
M072_OPENAI,POSITIVO,Positivo,0.453333,negative,Negativo,0.944838,False
M072_ANTHROPIC,POSITIVO,Positivo,0.546667,negative,Negativo,0.984735,False
M072_META,POSITIVO,Positivo,0.62,neutral,Neutro,0.966899,False
M073_OPENAI,POSITIVO,Positivo,0.446667,negative,Negativo,0.969161,False
M073_ANTHROPIC,POSITIVO,Positivo,0.56,neutral,Neutro,0.917953,False
M073_META,POSITIVO,Positivo,0.586667,neutral,Neutro,0.761017,False
M074_OPENAI,POSITIVO,Positivo,0.506667,positive,Positivo,0.980423,True
M074_ANTHROPIC,NEGATIVO,Negativo,0.526667,positive,Positivo,0.97271,False
M074_META,POSITIVO,Positivo,0.493333,positive,Positivo,0.992184,True
M075_OPENAI,NEUTRO,Neutro,0.6,positive,Positivo,0.993163,False
M075_ANTHROPIC,POSITIVO,Positivo,0.486667,neutral,Neutro,0.84685,False
M075_META,POSITIVO,Positivo,0.58,positive,Positivo,0.979718,True
M076_OPENAI,POSITIVO,Positivo,0.493333,neutral,Neutro,0.953814,False
M076_ANTHROPIC,POSITIVO,Positivo,0.413333,neutral,Neutro,0.983022,False
M076_META,POSITIVO,Positivo,0.546667,neutral,Neutro,0.979278,False
M077_OPENAI,POSITIVO,Positivo,0.48,negative,Negativo,0.965037,False
M077_ANTHROPIC,POSITIVO,Positivo,0.413333,neutral,Neutro,0.935834,False
M077_META,POSITIVO,Positivo,0.673333,neutral,Neutro,0.753632,False
M078_OPENAI,POSITIVO,Positivo,0.513333,neutral,Neutro,0.843135,False
M078_ANTHROPIC,POSITIVO,Positivo,0.593333,negative,Negativo,0.684937,False
M078_META,POSITIVO,Positivo,0.486667,neutral,Neutro,0.944653,False
M079_OPENAI,NEUTRO,Neutro,0.379048,neutral,Neutro,0.598602,True
M079_ANTHROPIC,NEGATIVO,Negativo,0.413333,negative,Negativo,0.972713,True
M079_META,POSITIVO,Positivo,0.586667,positive,Positivo,0.728215,True
M080_OPENAI,POSITIVO,Positivo,0.533333,negative,Negativo,0.983989,False
M080_ANTHROPIC,NEGATIVO,Negativo,0.54,negative,Negativo,0.984592,True
M080_META,POSITIVO,Positivo,0.593333,neutral,Neutro,0.73762,False
M081_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.963671,False
M081_ANTHROPIC,NEGATIVO,Negativo,0.473333,negative,Negativo,0.986599,True
M081_META,POSITIVO,Positivo,0.613333,neutral,Neutro,0.550548,False
M082_OPENAI,POSITIVO,Positivo,0.54,neutral,Neutro,0.691934,False
M082_ANTHROPIC,POSITIVO,Positivo,0.54,negative,Negativo,0.984541,False
M082_META,NEGATIVO,Negativo,0.433333,neutral,Neutro,0.847861,False
M083_OPENAI,POSITIVO,Positivo,0.52,negative,Negativo,0.970388,False
M083_ANTHROPIC,POSITIVO,Positivo,0.44,negative,Negativo,0.986022,False
M083_META,POSITIVO,Positivo,0.54,negative,Negativo,0.982159,False
M084_OPENAI,POSITIVO,Positivo,0.466667,negative,Negativo,0.984104,False
M084_ANTHROPIC,NEGATIVO,Negativo,0.488,neutral,Neutro,0.781533,False
M084_META,POSITIVO,Positivo,0.633333,negative,Negativo,0.985709,False
M085_OPENAI,NEGATIVO,Negativo,0.5,negative,Negativo,0.982654,True
M085_ANTHROPIC,POSITIVO,Positivo,0.48,neutral,Neutro,0.8981,False
M085_META,POSITIVO,Positivo,0.553333,neutral,Neutro,0.681987,False
M086_OPENAI,POSITIVO,Positivo,0.566667,neutral,Neutro,0.936138,False
M086_ANTHROPIC,POSITIVO,Positivo,0.44,neutral,Neutro,0.974644,False
M086_META,POSITIVO,Positivo,0.653333,positive,Positivo,0.981079,True
M087_OPENAI,NEGATIVO,Negativo,0.44,negative,Negativo,0.986661,True
M087_ANTHROPIC,NEGATIVO,Negativo,0.453333,negative,Negativo,0.988093,True
M087_META,POSITIVO,Positivo,0.473333,neutral,Neutro,0.563486,False
M088_OPENAI,POSITIVO,Positivo,0.46,negative,Negativo,0.979544,False
M088_ANTHROPIC,NEGATIVO,Negativo,0.481667,negative,Negativo,0.986753,True
M088_META,POSITIVO,Positivo,0.593333,neutral,Neutro,0.936605,False
M089_OPENAI,POSITIVO,Positivo,0.446667,neutral,Neutro,0.809899,False
M089_ANTHROPIC,NEGATIVO,Negativo,0.506667,positive,Positivo,0.981462,False
M089_META,POSITIVO,Positivo,0.566667,neutral,Neutro,0.792982,False
M090_OPENAI,POSITIVO,Positivo,0.486667,negative,Negativo,0.981096,False
M090_ANTHROPIC,POSITIVO,Positivo,0.586667,negative,Negativo,0.984684,False
M090_META,POSITIVO,Positivo,0.54,negative,Negativo,0.928794,False
M091_OPENAI,POSITIVO,Positivo,0.613333,positive,Positivo,0.983865,True
M091_ANTHROPIC,POSITIVO,Positivo,0.440667,positive,Positivo,0.977054,True
M091_META,POSITIVO,Positivo,0.606667,positive,Positivo,0.530147,True
M092_OPENAI,POSITIVO,Positivo,0.633333,negative,Negativo,0.984262,False
M092_ANTHROPIC,POSITIVO,Positivo,0.373333,negative,Negativo,0.980543,False
M092_META,POSITIVO,Positivo,0.413333,positive,Positivo,0.954074,True
M093_OPENAI,POSITIVO,Positivo,0.553333,negative,Negativo,0.979437,False
M093_ANTHROPIC,NEGATIVO,Negativo,0.443333,neutral,Neutro,0.797969,False
M093_META,POSITIVO,Positivo,0.613333,negative,Negativo,0.984025,False
M094_OPENAI,NEGATIVO,Negativo,0.52,neutral,Neutro,0.961407,False
M094_ANTHROPIC,POSITIVO,Positivo,0.493333,negative,Negativo,0.935079,False
M094_META,POSITIVO,Positivo,0.533333,neutral,Neutro,0.979209,False
M095_OPENAI,POSITIVO,Positivo,0.52,negative,Negativo,0.985756,False
M095_ANTHROPIC,POSITIVO,Positivo,0.413333,positive,Positivo,0.883582,True
M095_META,POSITIVO,Positivo,0.653333,neutral,Neutro,0.84298,False
M096_OPENAI,POSITIVO,Positivo,0.48,positive,Positivo,0.819195,True
M096_ANTHROPIC,POSITIVO,Positivo,0.486667,positive,Positivo,0.946132,True
M096_META,POSITIVO,Positivo,0.54,positive,Positivo,0.977311,True
M097_OPENAI,NEGATIVO,Negativo,0.446667,negative,Negativo,0.972989,True
M097_ANTHROPIC,NEGATIVO,Negativo,0.406667,neutral,Neutro,0.59659,False
M097_META,POSITIVO,Positivo,0.553333,negative,Negativo,0.973974,False
M098_OPENAI,NEGATIVO,Negativo,0.506667,negative,Negativo,0.968993,True
M098_ANTHROPIC,NEGATIVO,Negativo,0.46,negative,Negativo,0.936704,True
M098_META,POSITIVO,Positivo,0.6,positive,Positivo,0.876294,True
M099_OPENAI,POSITIVO,Positivo,0.46,positive,Positivo,0.927888,True
M099_ANTHROPIC,NEGATIVO,Negativo,0.46,negative,Negativo,0.986638,True
M099_META,POSITIVO,Positivo,0.56,neutral,Neutro,0.903318,False
M100_OPENAI,NEGATIVO,Negativo,0.613333,negative,Negativo,0.985762,True
M100_ANTHROPIC,NEGATIVO,Negativo,0.413333,negative,Negativo,0.985322,True
M100_META,POSITIVO,Positivo,0.573333,neutral,Neutro,0.960224,False
